,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club_Dup,First Name_Dup,Player_Dup,POS_Dup,Base Salary,Guaranteed Compensation,Date
2085,Jack Stewart,DAL,D,2.0,1.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stewart,Jack,DAL,Jack,Jack Stewart,D,42000.0,42000.0,2011-09-01
2086,Jed Zayner,DC,D,4.0,4.0,311.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.29,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,Zayner,Jed,DC,Jed,Jed Zayner,D,66500.0,70375.0,2011-09-01
2087,Chris Leitch,SJ,D,14.0,12.0,1115.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,0.0,1.0,0.08,100.0,8.0,9.0,1.0,3.0,0.0,0.0,0.0,Leitch,Chris,SJ,Chris,Chris Leitch,D,106050.0,106050.0,2011-09-01
2089,Michael Videira,CHI,M,9.0,7.0,493.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.18,33.3,10.0,0.0,0.0,2.0,0.0,0.0,0.0,Videira,Michael,CHI,Michael,Michael Videira,M,42000.0,42625.0,2011-09-01
2090,Wes Knight,VAN,D,12.0,10.0,805.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.11,20.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,Knight,Wes,VAN,Wes,Wes Knight,M/D,50000.0,50000.0,2011-09-01
2091,Tony Beltran,RSL,D,22.0,19.0,1731.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,0.0,1.0,0.05,60.0,14.0,20.0,1.0,1.0,1.0,0.0,0.0,Beltran,Tony,RSL,Anthony,Anthony Beltran,D,100000.0,135500.0,2011-09-01
2092,Gregg Berhalter,LA,D,10.0,8.0,748.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.12,20.0,13.0,8.0,0.0,3.0,0.0,0.0,0.0,Berhalter,Gregg,LA,Gregg,Gregg Berhalter,D,96000.0,96000.0,2011-09-01
2093,Jermaine Taylor,HOU,D,13.0,10.0,925.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.1,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,Taylor,Jermaine,HOU,Jermaine,Jermaine Taylor,D,57500.0,62500.0,2011-09-01
2094,Jermaine Taylor,HOU,D,13.0,10.0,925.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.1,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,Taylor,Jermaine,POR,Christopher,Christopher Taylor,D,32600.0,32600.04,2011-09-01
2095,Chris Taylor,POR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taylor,Chris,HOU,Jermaine,Jermaine Taylor,D,57500.0,62500.0,2011-09-01
2096,Chris Taylor,POR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taylor,Chris,POR,Christopher,Christopher Taylor,D,32600.0,32600.04,2011-09-01
2097,Gianluca Zavarise,TOR,M,14.0,4.0,569.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.16,16.7,7.0,13.0,3.0,1.0,1.0,0.0,0.0,Zavarise,Gianluca,TFC,Gianluca,Gianluca Zavarise,M,42000.0,46517.75,2011-09-01
2098,Tim Ream,NY,D,28.0,28.0,2520.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.04,50.0,10.0,9.0,0.0,2.0,0.0,0.0,0.0,Ream,Tim,NY,Tim,Tim Ream,D,55125.0,62625.0,2011-09-01
2099,Brian Umony,POR,F,6.0,0.0,131.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.69,33.3,3.0,1.0,4.0,1.0,0.0,0.0,0.0,Umony,Brian,POR,Brian,Brian Umony,F,65004.0,85004.0,2011-09-01
2100,Michael Stephens,LA,M,25.0,12.0,1109.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.08,28.6,13.0,4.0,0.0,3.0,0.0,0.0,0.0,Stephens,Michael,LA,Michael,Michael Stephens,M,57750.0,79000.0,2011-09-01
2101,Tyrone Marshall,COL,D,27.0,24.0,2177.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.04,0.0,24.0,14.0,0.0,4.0,0.0,0.0,0.0,Marshall,Tyrone,CLB,Chad,Chad Marshall,D,250000.0,320000.0,2011-09-01
2102,Tyrone Marshall,COL,D,27.0,24.0,2177.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.04,0.0,24.0,14.0,0.0,4.0,0.0,0.0,0.0,Marshall,Tyrone,COL,Tyrone,Tyrone Marshall,D,80000.0,83250.0,2011-09-01
2103,Chad Marshall,SEA,D,32.0,32.0,2835.0,0.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.03,40.0,19.0,28.0,1.0,2.0,0.0,0.0,0.0,Marshall,Chad,CLB,Chad,Chad Marshall,D,250000.0,320000.0,2011-09-01
2104,Chad Marshall,SEA,D,32.0,32.0,2835.0,0.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.03,40.0,19.0,28.0,1.0,2.0,0.0,0.0,0.0,Marshall,Chad,COL,Tyrone,Tyrone Marshall,D,80000.0,83250.0,2011-09-01
2105,Paulo Nagamura,CHV,M,11.0,6.0,544.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.17,0.0,9.0,6.0,0.0,2.0,0.0,0.0,0.0,Nagamura,Paulo,CHV,Paulo,Paulo Nagamura,M,225000.0,230500.0,2011-09-01
2106,Chris Wingert,RSL,D,23.0,22.0,1915.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.05,22.2,32.0,10.0,0.0,5.0,0.0,0.0,0.0,Wingert,Chris,RSL,Chris,Chris Wingert,D,135000.0,135000.0,2011-09-01
2107,Torsten Frings,TOR,M,13.0,13.0,1124.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.08,44.4,8.0,11.0,1.0,0.0,0.0,0.0,0.0,Frings,Torsten,TFC,Torsten,Torsten Frings,M,699996.0,1113662.67,2011-09-01
2109,Corben Bone,CHI,M,10.0,7.0,534.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.17,40.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Bone,Corben,CHI,Corben,Corben Bone,M,90000.0,151200.0,2011-09-01
2110,Birahim Diop,KC,M,18.0,8.0,761.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.12,10.0,19.0,6.0,0.0,3.0,0.0,0.0,0.0,Diop,Birahim,KC,Ibrahim,Ibrahim Diop,M,60000.0,64250.0,2011-09-01
2111,Matt Stinson,TOR,M,13.0,5.0,675.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.13,10.0,11.0,6.0,1.0,1.0,0.0,0.0,0.0,Stinson,Matt,TFC,Matthew,Matthew Stinson,M,32604.0,32604.0,2011-09-01
2112,Jeb Brovsky,VAN,D,24.0,16.0,1509.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.06,18.2,24.0,13.0,0.0,4.0,0.0,0.0,0.0,Brovsky,Jeb,VAN,Jeb,Jeb Brovsky,M,42000.0,42000.0,2011-09-01
2113,Brad Ring,SJ,D,21.0,17.0,1600.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.06,18.2,33.0,25.0,0.0,7.0,0.0,0.0,0.0,Ring,Brad,SJ,Brad,Brad Ring,M,42000.0,42000.0,2011-09-01
2114,Bobby Burling,SJ,D,23.0,23.0,2041.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.04,18.2,22.0,17.0,0.0,4.0,2.0,0.0,0.0,Burling,Bobby,SJ,Bobby,Bobby Burling,D,42000.0,42000.0,2011-09-01
2115,Kevin Burns,CLB,M,19.0,15.0,1243.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,1.0,0.0,0.07,18.2,12.0,7.0,2.0,4.0,0.0,0.0,0.0,Burns,Kevin,CLB,Kevin,Kevin Burns,M,42000.0,42000.0,2011-09-01
2116,Kevin Alston,NE,D,33.0,33.0,2954.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.03,7.7,25.0,45.0,0.0,1.0,0.0,0.0,0.0,Alston,Kevin,NE,Kevin,Kevin Alston,D,100000.0,149000.0,2011-09-01
2117,Arturo Alvarez,HOU,M,16.0,8.0,724.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.12,5.6,12.0,9.0,3.0,0.0,0.0,0.0,0.0,Alvarez,Arturo,RSL,Arturo,Arturo Alvarez,M-F,192585.0,201922.5,2011-09-01
2118,Chance Myers,POR,D,28.0,24.0,2209.0,0.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,1.0,0.0,0.04,23.8,35.0,21.0,1.0,1.0,0.0,0.0,0.0,Myers,Chance,KC,Chance,Chance Myers,D-M,72000.0,87666.67,2011-09-01
2119,Mikael Yourassowsky,TOR,D,21.0,13.0,1302.0,0.0,1.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,1.0,0.07,19.0,26.0,27.0,6.0,4.0,1.0,0.0,0.0,Yourassowsky,Mikael,TFC,Mikael,Mikael Yourassowsky,D,80004.0,81670.67,2011-09-01
2120,Daniel Paladini,CHI,M,23.0,16.0,1491.0,0.0,1.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,2011,REG,1.0,0.0,1.0,0.06,37.8,37.0,15.0,1.0,7.0,0.0,0.0,0.0,Paladini,Daniel,CHI,Daniel,Daniel Paladini,M,75000.0,79478.25,2011-09-01
2121,Alexandre Morfaw,VAN,M,2.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Morfaw,Alexandre,VAN,Alexandre,Alexandre Morfaw,M,90000.0,90000.0,2011-09-01
2122,Eddy Viator,TOR,D,3.0,2.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,Viator,Eddy,TFC,Eddy,Eddy Viator,D,90000.0,101875.0,2011-09-01
2123,Miguel Comminges,COL,D,4.0,4.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,Comminges,Miguel,COL,Miguel,Miguel Comminges,D,42000.0,42000.0,2011-09-01
2124,Marko Maric,CHI,M,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Maric,Marko,CHI,Marko,Marko Maric,M,150000.0,200000.0,2011-09-01
2125,Taylor Graham,SEA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Graham,Taylor,SEA,Taylor,Taylor Graham,D,60638.0,60638.0,2011-09-01
2126,Shavar Thomas,KC,D,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Thomas,Shavar,KC,Shavar,Shavar Thomas,D,160000.0,174375.0,2011-09-01
2127,Shavar Thomas,KC,D,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Thomas,Shavar,LA,Ryan,Ryan Thomas,D,32604.0,32604.0,2011-09-01
2128,Ryan Thomas,LA,D,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Thomas,Ryan,KC,Shavar,Shavar Thomas,D,160000.0,174375.0,2011-09-01
2129,Ryan Thomas,LA,D,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Thomas,Ryan,LA,Ryan,Ryan Thomas,D,32604.0,32604.0,2011-09-01
2130,Rauwshan McKenzie,RSL,D,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,McKenzie,Rauwshan,RSL,Rauwshan,Rauwshan McKenzie,D,42000.0,42000.0,2011-09-01
2131,Joe Tait,PHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tait,Joe,PHI,Joe,Joe Tait,D,42000.0,42000.0,2011-09-01
2132,Brian Nielsen,NY,M,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nielsen,Brian,NY,Brian,Brian Nielsen,M,120000.0,120000.0,2011-09-01
2133,Michael Holody,COL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holody,Michael,COL,Mike,Mike Holody,D,32604.0,32604.0,2011-09-01
2134,Mike Banner,CHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banner,Mike,CHI,Michael,Michael Banner,D,42000.0,42000.0,2011-09-01
2135,Danny O'Rourke,CLB,D,6.0,5.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,O'Rourke,Danny,CLB,Danny,Danny O'Rourke,D,121000.0,133500.0,2011-09-01
2136,Devon McTavish,DC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McTavish,Devon,DC,Devon,Devon McTavish,D-M,50000.0,50000.0,2011-09-01
2137,Kurt Morsink,DC,M,2.0,2.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,Morsink,Kurt,DC,Kurt,Kurt Morsink,M,62000.0,63500.0,2011-09-01
2139,Elbekay Bouchiba,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bouchiba,Elbekay,TFC,Elbekay,Elbekay Bouchiba,M,92004.0,92004.0,2011-09-01
2140,Carl Robinson,NY,M,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Robinson,Carl,HOU,Eddie,Eddie Robinson,D,120000.0,120000.0,2011-09-01
2141,Carl Robinson,NY,M,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Robinson,Carl,NY,Carl,Carl Robinson,M,75000.0,75000.0,2011-09-01
2142,Carl Robinson,NY,M,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Robinson,Carl,TFC,Dasan,Dasan Robinson,D,97500.0,100000.0,2011-09-01
2143,Eddie Robinson,HOU,D,2.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Robinson,Eddie,HOU,Eddie,Eddie Robinson,D,120000.0,120000.0,2011-09-01
2144,Eddie Robinson,HOU,D,2.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Robinson,Eddie,NY,Carl,Carl Robinson,M,75000.0,75000.0,2011-09-01
2145,Eddie Robinson,HOU,D,2.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Robinson,Eddie,TFC,Dasan,Dasan Robinson,D,97500.0,100000.0,2011-09-01
2146,Dasan Robinson,CHI,D,6.0,3.0,338.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,Robinson,Dasan,HOU,Eddie,Eddie Robinson,D,120000.0,120000.0,2011-09-01
2147,Dasan Robinson,CHI,D,6.0,3.0,338.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,Robinson,Dasan,NY,Carl,Carl Robinson,M,75000.0,75000.0,2011-09-01
2148,Dasan Robinson,CHI,D,6.0,3.0,338.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,Robinson,Dasan,TFC,Dasan,Dasan Robinson,D,97500.0,100000.0,2011-09-01
2153,Chukwudi Chijindu,CHV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chijindu,Chukwudi,CHV,Chukwudi,Chukwudi Chijindu,M,42000.0,42000.0,2011-09-01
2154,Amadou Sanyang,SEA,D,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyang,Amadou,SEA,Amadou,Amadou Sanyang,M,32604.0,32604.0,2011-09-01
2155,Daneil Cyrus,KC,D,2.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,Cyrus,Daneil,KC,Daneil,Daneil Cyrus,D,42000.0,44991.56,2011-09-01
2157,Edson Edward,DAL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edward,Edson,DAL,Edson,Edson Edward,D,42000.0,42000.0,2011-09-01
2158,Kwame Watson-Siriboe,CHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watson-Siriboe,Kwame,CHI,Kwame,Kwame Watson-Siriboe,D,44000.0,44000.0,2011-09-01
2159,Korede Aiyegbusi,KC,D,3.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aiyegbusi,Korede,KC,Olukorede,Olukorede Aiyegbusi,D,42000.0,42000.0,2011-09-01
2160,Mike Seamon,SEA,M-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seamon,Mike,SEA,Michael,Michael Seamon,M,42000.0,42000.0,2011-09-01
2161,Steven Kinney,CHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kinney,Steven,CHI,Steven,Steven Kinney,D,42000.0,42000.0,2011-09-01
2165,Bryan Leyva,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyva,Bryan,DAL,Bryan,Bryan Leyva,M,55000.0,70833.33,2011-09-01
2167,Nicholas Lindsay,TOR,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lindsay,Nicholas,TFC,Nicholas,Nicholas Lindsay,F,42000.0,43000.0,2011-09-01
2171,Ben Sippola,CLB,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sippola,Ben,CLB,Ben,Ben Sippola,M-D,32600.0,32600.04,2011-09-01
2172,Korey Veeder,CLB,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veeder,Korey,CLB,Korey,Korey Veeder,D,32600.0,34475.0,2011-09-01
2173,Michael Tetteh,SEA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tetteh,Michael,SEA,Michael,Michael Tetteh,M,60000.0,77663.06,2011-09-01
2174,Steven Emory,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emory,Steven,COL,Steven,Steven Emory,M,32604.0,32604.0,2011-09-01
2175,Conor Shanosky,DC,M-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanosky,Conor,DC,Conor,Conor Shanosky,D,55000.0,69218.83,2011-09-01
2176,Cole Grossman,CLB,M,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grossman,Cole,CLB,Cole,Cole Grossman,M,42000.0,42000.0,2011-09-01
2178,Davy Armstrong,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armstrong,Davy,COL,David,David Armstrong,M,42000.0,51464.29,2011-09-01
2179,Victor Pineda,CHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pineda,Victor,CHI,Victor,Victor Pineda,M,42000.0,48742.42,2011-09-01
2180,Hector Jimenez,CLB,M,2.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Jimenez,Hector,LA,Hector,Hector Jimenez,M,32604.0,32604.0,2011-09-01
2181,Mike Jones,KC,D,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jones,Mike,NY,Mychel,Mychel Jones,D,42000.0,42000.0,2011-09-01
2182,Josue Soto,HOU,D-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soto,Josue,HOU,Josue,Josue Soto,M,32600.0,38225.04,2011-09-01
2183,Ryan Richter,PHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richter,Ryan,PHI,Ryan,Ryan Richter,F,32604.0,32604.0,2011-09-01
