,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club_Dup,First Name_Dup,Player_Dup,POS_Dup,Base Salary,Guaranteed Compensation,Date
23,Brian Ching,HOU,F,20.0,17.0,1590.0,7.0,2.0,48.0,18.0,3.0,4.0,3.0,0.4,14.6,2007,REG,0.0,0.0,2.0,0.11,37.5,31.0,46.0,15.0,1.0,0.0,0.0,0.0,Ching,Brian,HOU,Brian,Brian Ching,F,220000.0,220000.0,2007-08-31
24,Andy Dorman,NE,M,30.0,27.0,2269.0,7.0,2.0,48.0,27.0,2.0,4.0,3.0,0.28,14.6,2007,REG,0.0,1.0,1.0,0.08,56.3,28.0,18.0,4.0,5.0,0.0,0.0,0.0,Dorman,Andy,NE,Andy,Andy Dorman,M,30870.0,30870.0,2007-08-31
25,Nate Jaqua,HOU,F,25.0,19.0,1772.0,7.0,2.0,49.0,19.0,1.0,6.0,1.0,0.36,14.3,2007,REG,0.0,1.0,1.0,0.1,38.8,34.0,29.0,8.0,6.0,0.0,0.0,0.0,Jaqua,Nate,HOU,Nate,Nate Jaqua,F,112500.0,119525.0,2007-08-31
26,Chad Barrett,CHI,F,30.0,25.0,1983.0,7.0,2.0,59.0,37.0,2.0,5.0,2.0,0.32,11.9,2007,REG,0.0,2.0,0.0,0.09,62.7,21.0,22.0,37.0,3.0,0.0,1.0,1.0,Barrett,Chad,CHI,Chad,Chad Barrett,F,41212.5,48712.5,2007-08-31
27,Chad Barrett,CHI,F,30.0,25.0,1983.0,7.0,2.0,59.0,37.0,2.0,5.0,2.0,0.32,11.9,2007,REG,0.0,2.0,0.0,0.09,62.7,21.0,22.0,37.0,3.0,0.0,1.0,1.0,Barrett,Chad,HOU,Wade,Wade Barrett,D,141750.0,141750.0,2007-08-31
28,Wade Barrett,HOU,D,30.0,30.0,2649.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,1.0,1.0,0.07,66.7,11.0,9.0,2.0,2.0,0.0,0.0,0.0,Barrett,Wade,CHI,Chad,Chad Barrett,F,41212.5,48712.5,2007-08-31
29,Wade Barrett,HOU,D,30.0,30.0,2649.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,1.0,1.0,0.07,66.7,11.0,9.0,2.0,2.0,0.0,0.0,0.0,Barrett,Wade,HOU,Wade,Wade Barrett,D,141750.0,141750.0,2007-08-31
30,Carlos Ruiz,DAL,F,22.0,19.0,1721.0,7.0,2.0,59.0,25.0,0.0,2.0,5.0,0.37,11.9,2007,REG,0.0,0.0,2.0,0.1,42.4,46.0,41.0,23.0,9.0,1.0,1.0,1.0,Ruiz,Carlos,DAL,Carlos,Carlos Ruiz,F,325000.0,435000.0,2007-08-31
32,Chris Rolfe,CHI,F,19.0,18.0,1451.0,6.0,3.0,38.0,19.0,2.0,2.0,4.0,0.37,15.8,2007,REG,1.0,2.0,1.0,0.19,50.0,13.0,22.0,4.0,1.0,0.0,1.0,1.0,Rolfe,Chris,CHI,Chris,Chris Rolfe,F,70000.0,74700.0,2007-08-31
33,Clint Mathis,NY,M,26.0,19.0,1722.0,6.0,2.0,47.0,22.0,0.0,4.0,2.0,0.31,12.8,2007,REG,1.0,2.0,0.0,0.1,46.8,16.0,15.0,5.0,2.0,2.0,0.0,1.0,Mathis,Clint,NY,Clint,Clint Mathis,M-F,270000.0,410000.0,2007-08-31
34,Danny Dichio,TOR,F,17.0,14.0,1175.0,6.0,1.0,20.0,13.0,0.0,4.0,2.0,0.46,30.0,2007,REG,0.0,0.0,1.0,0.08,65.0,46.0,38.0,6.0,3.0,1.0,0.0,0.0,Dichio,Danny,TFC,Daniel,Daniel Dichio,F,150000.0,158125.0,2007-08-31
35,Jeff Cunningham,RSL,F,23.0,20.0,1636.0,6.0,1.0,32.0,21.0,0.0,5.0,1.0,0.33,18.8,2007,REG,0.0,0.0,1.0,0.06,65.6,8.0,21.0,33.0,3.0,0.0,1.0,1.0,Cunningham,Jeff,TFC,Jeffrey,Jeffrey Cunningham,F,220000.0,232500.0,2007-08-31
36,Juan Toja,DAL,M,27.0,27.0,2388.0,6.0,1.0,33.0,16.0,3.0,1.0,5.0,0.23,18.2,2007,REG,0.0,1.0,0.0,0.04,48.5,83.0,41.0,6.0,4.0,0.0,0.0,0.0,Toja,Juan,DAL,Juan Carlos,Juan Carlos Toja,M,100008.0,100008.0,2007-08-31
37,Jovan Kirovski,COL,M-F,28.0,28.0,2161.0,6.0,1.0,36.0,14.0,2.0,4.0,2.0,0.25,16.7,2007,REG,1.0,1.0,0.0,0.04,38.9,38.0,19.0,16.0,3.0,0.0,4.0,4.0,Kirovski,Jovan,COL,Jovan,Jovan Kirovski,F,200000.0,200000.0,2007-08-31
39,Eddie Gaven,CLB,M,27.0,21.0,1923.0,5.0,7.0,59.0,33.0,0.0,4.0,1.0,0.23,8.5,2007,REG,1.0,0.0,7.0,0.33,55.9,18.0,50.0,10.0,1.0,0.0,0.0,0.0,Gaven,Eddie,CLB,Eddie,Eddie Gaven,M,165000.0,188000.0,2007-08-31
40,Stuart Holden,HOU,M,22.0,10.0,1030.0,5.0,5.0,24.0,13.0,3.0,2.0,3.0,0.44,20.8,2007,REG,2.0,3.0,2.0,0.44,54.2,18.0,15.0,1.0,2.0,0.0,0.0,0.0,Holden,Stuart,HOU,Stuart,Stuart Holden,M,31500.0,31500.0,2007-08-31
41,Abe Thompson,DAL,F,24.0,15.0,1227.0,5.0,4.0,19.0,11.0,2.0,2.0,3.0,0.37,26.3,2007,REG,1.0,1.0,3.0,0.29,57.9,14.0,10.0,13.0,2.0,0.0,2.0,2.0,Thompson,Abe,DAL,Abe,Abe Thompson,F,30000.0,30000.0,2007-08-31
42,Abe Thompson,DAL,F,24.0,15.0,1227.0,5.0,4.0,19.0,11.0,2.0,2.0,3.0,0.37,26.3,2007,REG,1.0,1.0,3.0,0.29,57.9,14.0,10.0,13.0,2.0,0.0,2.0,2.0,Thompson,Abe,NE,Wells,Wells Thompson,M,30000.0,30000.0,2007-08-31
43,Wells Thompson,NE,D,27.0,11.0,1215.0,1.0,0.0,16.0,7.0,0.0,1.0,0.0,0.07,6.3,2007,REG,0.0,0.0,0.0,0.0,43.8,26.0,36.0,2.0,6.0,0.0,0.0,0.0,Thompson,Wells,DAL,Abe,Abe Thompson,F,30000.0,30000.0,2007-08-31
44,Wells Thompson,NE,D,27.0,11.0,1215.0,1.0,0.0,16.0,7.0,0.0,1.0,0.0,0.07,6.3,2007,REG,0.0,0.0,0.0,0.0,43.8,26.0,36.0,2.0,6.0,0.0,0.0,0.0,Thompson,Wells,NE,Wells,Wells Thompson,M,30000.0,30000.0,2007-08-31
