,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
218,Pat Onstad,DC,GK,3.0,3.0,270.0,16.0,8.0,7.0,2.33,1.0,2.0,0.0,0.0,33.3,50.0,2011,REG,2.0,2.0,Onstad,Pat,DC,,,,,,,,
230,Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,Kempin,Jon,CLB,,,,,,,,
238,Thorne Holder,PHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,Holder,Thorne,PHI,,,,,,,,
239,Josh Ford,SEA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,Ford,Josh,SEA,,,,,,,,
240,Chase Harrison,PHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,Harrison,Chase,PHI,,,,,,,,
241,Bryan Meredith,SEA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,REG,0.0,0.0,Meredith,Bryan,SEA,,,,,,,,
274,Bobby Shuttleworth,MIN,GK,7.0,7.0,630.0,29.0,23.0,5.0,0.71,3.0,3.0,1.0,3.0,42.9,79.3,2012,REG,0.0,0.0,Shuttleworth,Bobby,MIN,,,,,,,,
275,Freddy Hall,TOR,GK,7.0,7.0,630.0,42.0,27.0,15.0,2.14,0.0,5.0,2.0,1.0,0.0,64.3,2012,REG,1.0,1.0,Hall,Freddy,TOR,,,,,,,,
297,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
301,Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,REG,0.0,0.0,Kempin,Jon,CLB,,,,,,,,
329,Bobby Shuttleworth,MIN,GK,23.0,22.0,2063.0,96.0,64.0,30.0,1.36,7.0,11.0,5.0,9.0,30.4,66.7,2013,REG,3.0,3.0,Shuttleworth,Bobby,MIN,,,,,,,,
355,Santiago Castaño,NY,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,REG,0.0,0.0,Castaño,Santiago,NY,,,,,,,,
365,Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,REG,0.0,0.0,Kempin,Jon,CLB,,,,,,,,
369,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
383,Steve Clark,DC,GK,34.0,34.0,3060.0,153.0,111.0,42.0,1.24,14.0,10.0,10.0,8.0,41.2,72.5,2014,REG,2.0,4.0,Clark,Steve,DC,,,,,,,,
