station,station_value
116 st,41.98429224193313
135 st,3.439501039135856
169 st,1.1479235834048618
174-175 sts,0.610889269605253
207 st,1.5010128376108995
219 st,2.075797782750268
23 st,5.950705671004717
231 st,0.7288875258258023
28 st,13.310959221159939
46 st,1.3874834900000002
49 st,4.646780377471265
50 st,1.7627294319183007
59 st,35.30898439972689
71 st,11.119168684467114
77 st,1.330047793388348
86 st,0.4533940049685163
96 st,1.6627696265965723
avenue h,1.0147226036029595
avenue i,18.880615991668417
canal st,7.09714447138955
cortlandt st,1.2081830679458732
east broadway,0.7370805802749919
elmhurst av,0.2840906666666671
flushing av,0.7321156432246282
franklin av,14.847808162678524
fulton st,2.4690489726610605
hoyt st,0.573181346277672
kingsbridge rd,20.108435107268278
metropolitan av,0.324207359045881
rockaway av,0.444599573527877
spring st,0.441163890625
van siclen av,8.410844185077753
wall st,30.198898528582756
wilson av,5.709695461257562
woodhaven blvd,2.917156089635435
woodlawn,27.48014771649574
