,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,W%,Sv%,Year,Season,PKG,PKA
425,Ryan Meara,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
426,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
427,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
428,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
429,Brian Holt,PHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
430,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
431,Santiago Castaño,NY ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
432,Brad Stuver,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
433,Luis Soffner,NE ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
434,Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
435,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
436,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2014,REG,0,0
437,Luis Robles,NY,GK,34,34,3060,131,86,43,1.26,18,10,6,9,52.9,65.6,2015,REG,2,3
438,David Ousted,DC,GK,34,34,3060,137,99,36,1.06,16,13,5,13,47.1,72.3,2015,REG,2,6
439,David Bingham,LA,GK,34,34,3060,147,105,39,1.15,13,13,8,12,38.2,71.4,2015,REG,4,6
440,Steve Clark,DC,GK,34,34,3060,168,114,53,1.56,15,11,8,6,44.1,67.9,2015,REG,4,4
441,Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,15,10,8,13,45.5,66.7,2015,REG,4,4
442,Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,10,16,7,4,30.3,65.4,2015,REG,6,7
443,Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,14,10,6,10,45.2,77.1,2015,REG,2,3
444,Bobby Shuttleworth,MIN,GK,31,31,2790,125,78,41,1.32,13,11,7,8,41.9,62.4,2015,REG,5,6
445,Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,10,13,8,7,32.3,64.0,2015,REG,5,5
446,Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,15,12,4,9,48.4,69.7,2015,REG,6,7
447,Clint Irwin,TOR,GK,31,31,2790,125,88,38,1.23,8,13,10,8,25.8,70.4,2015,REG,3,3
448,Bill Hamid,DC ,GK,25,25,2250,133,101,29,1.16,11,9,5,8,44.0,75.9,2015,REG,0,1
449,Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,8,9,7,8,33.3,71.0,2015,REG,5,8
450,Tally Hall,DC,GK,23,23,2064,114,73,41,1.78,10,8,5,5,43.5,64.0,2015,REG,4,5
451,Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,11,8,4,8,47.8,72.6,2015,REG,2,2
452,Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,5,11,5,4,23.8,65.6,2015,REG,3,3
453,Donovan Ricketts,LA ,GK,21,21,1890,92,58,32,1.52,7,9,5,3,33.3,63.0,2015,REG,4,4
454,Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,11,7,3,4,52.4,67.4,2015,REG,4,6
455,Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,7,5,4,5,43.8,62.5,2015,REG,3,4
456,Jaime Penedo,LA ,GK,16,16,1440,69,50,19,1.19,6,4,6,5,37.5,72.5,2015,REG,1,1
457,Joe Bendik,OCS,GK,13,13,1170,72,45,27,2.08,4,8,1,1,30.8,62.5,2015,REG,2,2
458,Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,3,8,1,1,25.0,61.4,2015,REG,0,0
459,Brian Sylvestre,PHI,GK,12,12,1080,50,30,19,1.58,5,6,1,5,41.7,60.0,2015,REG,1,2
460,John McCarthy,PHI,GK,11,11,990,41,22,18,1.64,3,5,3,2,27.3,53.7,2015,REG,2,2
461,Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,7,3,1,5,63.6,78.7,2015,REG,2,4
462,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,3,6,1,1,30.0,62.5,2015,REG,2,2
463,Andrew Dykstra,SKC,GK,9,9,778,57,40,16,1.78,3,4,1,0,33.3,70.2,2015,REG,0,1
464,Luis Marin,KC ,GK,8,8,720,30,19,12,1.5,2,2,4,3,25.0,63.3,2015,REG,0,0
465,Chris Seitz,HOU,GK,7,7,630,27,17,10,1.43,4,2,1,3,57.1,63.0,2015,REG,0,1
466,Brian Rowe ,VAN,GK,7,7,630,22,13,9,1.29,3,3,1,2,42.9,59.1,2015,REG,0,0
467,Andre Blake,PHI,GK,6,6,540,34,26,9,1.5,2,3,1,2,33.3,76.5,2015,REG,1,1
468,Rais MBolhi,ALG,GK,5,5,450,20,10,9,1.8,0,3,2,1,0.0,50.0,2015,REG,1,1
469,Troy Perkins,SEA,GK,4,3,316,15,12,3,1.0,1,3,0,0,25.0,80.0,2015,REG,0,0
470,Eric Kronberg,MTL,GK,3,3,270,11,6,5,1.67,0,1,2,0,0.0,54.5,2015,REG,0,0
471,Brad Knighton,NE,GK,3,3,270,16,9,6,2.0,1,1,1,1,33.3,56.3,2015,REG,2,2
472,Joe Willis,HOU,GK,3,3,270,10,5,5,1.67,1,1,1,0,33.3,50.0,2015,REG,0,0
473,Jon Kempin,CLB,GK,3,3,270,11,6,5,1.67,1,1,1,0,33.3,54.5,2015,REG,0,0
474,Zac MacMath,COL,GK,3,3,270,12,6,5,1.67,1,2,0,1,33.3,50.0,2015,REG,0,0
475,Josh Ford,ORL,GK,2,1,96,6,5,1,1.0,0,1,0,0,0.0,83.3,2015,REG,1,1
476,Travis Worra,DC,GK,1,0,32,1,1,0,0.0,1,0,0,0,100.0,100.0,2015,REG,0,0
477,Alec Kann,ATL,GK,1,1,90,8,6,2,2.0,0,1,0,0,0.0,75.0,2015,REG,1,1
478,Ryan Meara,NY,GK,1,1,90,7,6,1,1.0,0,1,0,0,0.0,85.7,2015,REG,0,0
479,Andrew Weber,POR,GK,1,1,90,7,4,3,3.0,0,1,0,0,0.0,57.1,2015,REG,0,0
480,Kyle Reynish,NYR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
481,Kristian Nicht,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
482,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
483,Brian Perk,LA ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
484,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
485,Earl Edwards Jr.,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
486,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
487,Santiago Castaño,NYR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
488,Brad Stuver,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
489,Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
490,Eirik Johansen,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
491,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
492,Matt Lampson,MIN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
493,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
494,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
495,Akira Fitzgerald,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
496,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
497,Alex Bono,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
498,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
499,John Berner,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
500,Trevor Spangenberg,NE ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
501,Andrew Wolverton,LA ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
502,Tomas Gomez,SJ ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2015,REG,0,0
503,David Bingham,LA,GK,34,34,3015,146,106,39,1.15,8,12,14,8,23.5,72.6,2016,REG,4,4
504,Joe Bendik,OCS,GK,34,34,3060,178,114,60,1.76,9,11,14,5,26.5,64.0,2016,REG,4,7
505,Luis Robles,NY,GK,34,34,3060,143,100,44,1.29,16,9,9,11,47.1,69.9,2016,REG,3,4
506,Evan Bush,MTL,GK,33,33,2931,155,101,50,1.52,11,11,11,6,33.3,65.2,2016,REG,4,5
507,David Ousted,DC,GK,33,33,2970,166,110,52,1.58,10,15,8,6,30.3,66.3,2016,REG,6,8
508,Josh Saunders,NYC,GK,33,33,2970,158,98,56,1.7,14,10,9,8,42.4,62.0,2016,REG,5,6
509,Stefan Frei,SEA,GK,33,33,2970,137,91,41,1.24,14,13,6,8,42.4,66.4,2016,REG,6,8
510,Steve Clark,DC,GK,32,32,2880,161,112,51,1.59,8,12,12,8,25.0,69.6,2016,REG,4,5
511,Andre Blake,PHI,GK,32,32,2880,150,99,50,1.56,10,13,9,6,31.3,66.0,2016,REG,0,1
512,Brian Rowe ,VAN,GK,31,30,2765,148,113,33,1.1,12,5,14,9,38.7,76.4,2016,REG,2,3
513,Nick Rimando,RSL,GK,30,30,2700,137,91,40,1.33,11,9,10,6,36.7,66.4,2016,REG,3,5
514,Jake Gleeson,POR,GK,28,27,2470,160,118,40,1.48,11,11,6,6,39.3,73.8,2016,REG,6,6
515,Chris Seitz,HOU,GK,28,28,2520,95,63,29,1.04,14,5,9,10,50.0,66.3,2016,REG,3,4
516,Tim Melia,SKC,GK,27,27,2430,95,66,30,1.11,11,11,5,8,40.7,69.5,2016,REG,3,4
517,Joe Willis,HOU,GK,26,24,2275,129,89,39,1.63,5,12,9,5,19.2,69.0,2016,REG,5,6
518,Sean Johnson,NYC,GK,22,22,1980,106,68,37,1.68,6,10,6,5,27.3,64.2,2016,REG,1,1
519,Bobby Shuttleworth,MIN,GK,21,20,1814,89,50,38,1.9,4,9,8,5,19.0,56.2,2016,REG,4,6
520,Bill Hamid,DC,GK,20,20,1800,93,68,25,1.25,8,3,9,5,40.0,73.1,2016,REG,3,3
521,Clint Irwin,TOR,GK,19,19,1690,76,50,23,1.21,6,6,6,6,31.6,65.8,2016,REG,2,2
522,Tim Howard,COL,GK,17,17,1530,73,54,19,1.12,6,3,8,7,35.3,74.0,2016,REG,4,7
523,Zac MacMath,COL,GK,17,17,1530,57,39,13,0.76,9,3,5,6,52.9,68.4,2016,REG,0,1
524,Alex Bono,TOR,GK,16,15,1370,60,42,16,1.07,8,3,5,4,50.0,70.0,2016,REG,1,1
525,Brad Knighton,NE,GK,13,13,1153,49,31,16,1.23,6,5,1,2,46.2,63.3,2016,REG,3,3
526,Travis Worra,DC,GK,13,13,1170,52,34,18,1.38,3,6,4,4,23.1,65.4,2016,REG,0,0
527,Matt Lampson,MIN,GK,11,11,990,76,55,18,1.64,1,6,4,3,9.1,72.4,2016,REG,1,1
528,Tyler Deric,HOU,GK,10,10,772,37,31,6,0.6,2,2,4,4,20.0,83.8,2016,REG,0,0
529,Adam Kwarasey,POR,GK,7,7,590,31,19,13,1.86,1,3,2,0,14.3,61.3,2016,REG,1,1
530,Alec Kann,ATL,GK,7,7,630,28,17,11,1.57,2,2,3,2,28.6,60.7,2016,REG,0,0
531,Jesse Gonzalez,DAL,GK,6,6,540,22,12,11,1.83,3,3,0,2,50.0,54.5,2016,REG,0,0
532,Jeff Attinella,POR,GK,4,4,360,13,8,6,1.5,1,3,0,0,25.0,61.5,2016,REG,1,1
533,Dan Kennedy,LA,GK,3,2,115,7,4,3,1.5,0,0,1,0,0.0,57.1,2016,REG,0,0
534,Eric Kronberg,MTL,GK,2,1,128,5,2,3,3.0,0,0,1,0,0.0,40.0,2016,REG,1,1
535,Clement Diop,MTL,GK,2,2,180,15,11,3,1.5,0,1,1,0,0.0,73.3,2016,REG,1,1
536,Brad Stuver,CLB,GK,2,2,180,15,8,7,3.5,0,2,0,0,0.0,53.3,2016,REG,0,1
537,Andrew Tarbell,SJ,GK,1,0,45,2,1,1,1.0,0,0,0,0,0.0,50.0,2016,REG,1,1
538,Patrick McLain,CHI,GK,1,1,90,6,3,3,3.0,0,1,0,0,0.0,50.0,2016,REG,1,1
539,John McCarthy,PHI,GK,1,1,90,5,3,3,3.0,0,1,0,0,0.0,60.0,2016,REG,0,0
540,Matt Jones,PHI,GK,1,1,90,5,2,2,2.0,1,0,0,0,100.0,40.0,2016,REG,0,0
541,Tyler Miller,LFC,GK,1,1,90,4,2,2,2.0,0,1,0,0,0.0,50.0,2016,REG,0,0
542,Cody Cropper,NE,GK,1,1,90,2,2,0,0.0,1,0,0,1,100.0,100.0,2016,REG,0,0
543,Eirik Johansen,NYC,GK,1,1,90,6,5,1,1.0,1,0,0,0,100.0,83.3,2016,REG,0,0
544,Paolo Tornaghi,VAN,GK,1,1,90,6,6,0,0.0,0,0,1,1,0.0,100.0,2016,REG,0,0
545,Andrew Dykstra,SKC,GK,1,1,90,7,3,4,4.0,0,1,0,0,0.0,42.9,2016,REG,1,1
546,Chris Konopka,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
547,Tally Hall,DC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
548,Kyle Reynish,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
549,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
550,Ryan Meara,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
551,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
552,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
553,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
554,Zack Steffen,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
555,Charlie Horton,DC ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
556,Ryan Herman,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
557,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
558,John Berner,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
559,Earl Edwards Jr.,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
560,Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
561,Chris Froschauer,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
562,Matt Pacifici,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
563,Andre Rawls,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
564,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
565,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
566,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
567,Wade Hamilton,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
568,Mason Stajduhar,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0
569,Luis Robles,NY,GK,34,34,3060,149,99,47,1.38,14,12,8,10,41.2,66.4,2017,REG,8,9
570,Zack Steffen,CLB,GK,34,34,3060,150,98,49,1.44,16,12,6,9,47.1,65.3,2017,REG,4,7
571,Bobby Shuttleworth,MIN,GK,33,32,2838,174,116,60,1.88,10,16,5,5,30.3,66.7,2017,REG,6,8
572,Stefan Frei,SEA,GK,33,33,2970,121,84,36,1.09,13,9,11,13,39.4,69.4,2017,REG,5,6
573,Joe Bendik,OCS,GK,33,33,2970,173,118,52,1.58,10,14,9,7,30.3,68.2,2017,REG,4,5
574,Sean Johnson,NYC,GK,32,32,2880,137,96,39,1.22,15,8,9,7,46.9,70.1,2017,REG,3,4
575,Tim Melia,SKC,GK,31,31,2759,116,91,24,0.77,12,7,11,10,38.7,78.4,2017,REG,2,5
576,Evan Bush,MTL,GK,31,31,2790,136,84,50,1.61,11,14,6,5,35.5,61.8,2017,REG,3,3
577,Alex Bono,TOR,GK,29,28,2570,104,72,32,1.14,19,4,6,10,65.5,69.2,2017,REG,3,5
578,Jesse Gonzalez,DAL,GK,29,29,2610,118,75,40,1.38,8,8,13,9,27.6,63.6,2017,REG,1,1
579,David Ousted,DC,GK,28,28,2453,132,90,39,1.39,13,8,6,6,46.4,68.2,2017,REG,4,4
580,Nick Rimando,RSL,GK,28,28,2488,110,73,33,1.18,13,10,5,8,46.4,66.4,2017,REG,1,3
581,Cody Cropper,NE,GK,28,28,2520,124,71,50,1.79,10,14,4,8,35.7,57.3,2017,REG,4,4
582,Tyler Deric,HOU,GK,26,26,2340,109,76,31,1.19,10,6,10,6,38.5,69.7,2017,REG,2,2
583,Andre Blake,PHI,GK,26,26,2340,125,88,34,1.31,9,10,7,9,34.6,70.4,2017,REG,4,5
584,Tim Howard,COL,GK,25,25,2250,126,84,39,1.56,7,14,4,5,28.0,66.7,2017,REG,5,6
585,Bill Hamid,DC,GK,24,24,2160,132,98,35,1.46,8,12,4,6,33.3,74.2,2017,REG,3,4
586,Matt Lampson,MIN,GK,24,24,2160,91,58,31,1.29,12,7,5,8,50.0,63.7,2017,REG,3,3
587,David Bingham,LA,GK,23,23,2070,94,58,35,1.52,9,9,5,7,39.1,61.7,2017,REG,2,2
588,Jake Gleeson,POR,GK,21,21,1818,83,52,30,1.43,8,6,6,3,38.1,62.7,2017,REG,3,3
589,Alec Kann,ATL,GK,18,18,1620,83,56,25,1.39,8,7,3,4,44.4,67.5,2017,REG,4,4
590,Clement Diop,MTL,GK,15,15,1331,89,54,31,2.07,4,8,3,2,26.7,60.7,2017,REG,1,1
591,Brian Rowe ,VAN,GK,14,12,1157,60,35,23,1.92,3,6,4,2,21.4,58.3,2017,REG,2,2
592,Jeff Attinella,POR,GK,14,13,1242,64,45,20,1.54,7,5,2,4,50.0,70.3,2017,REG,0,1
593,Brad Guzan,ATL,GK,14,14,1260,47,38,10,0.71,6,1,7,8,42.9,80.9,2017,REG,1,1
594,Andrew Tarbell,SJ,GK,11,11,990,65,40,25,2.27,4,5,2,2,36.4,61.5,2017,REG,0,1
595,Zac MacMath,COL,GK,9,9,810,40,27,12,1.33,2,5,2,1,22.2,67.5,2017,REG,2,2
596,Joe Willis,HOU,GK,8,8,720,31,17,14,1.75,3,4,1,2,37.5,54.8,2017,REG,1,1
597,Jorge Rodrigo Bava,CHI,GK,8,8,720,31,20,12,1.5,3,3,2,3,37.5,64.5,2017,REG,0,0
598,John McCarthy,PHI,GK,8,8,720,49,34,13,1.63,2,4,2,1,25.0,69.4,2017,REG,2,2
599,Jon Kempin,CLB,GK,7,7,570,40,27,13,1.86,1,4,1,2,14.3,67.5,2017,REG,0,2
600,Matt Van Oekel,RSL,GK,7,6,572,47,25,22,3.67,0,5,1,1,0.0,53.2,2017,REG,1,1
601,Clint Irwin,TOR,GK,6,6,490,18,13,5,0.83,1,1,3,2,16.7,72.2,2017,REG,0,1
602,Brad Knighton,NE,GK,6,6,540,31,20,11,1.83,3,1,2,1,50.0,64.5,2017,REG,1,1
603,Chris Seitz,HOU,GK,5,5,450,20,12,8,1.6,3,2,0,0,60.0,60.0,2017,REG,2,3
604,Stefan Marinovic,VAN,GK,5,5,450,27,21,5,1.0,2,2,1,1,40.0,77.8,2017,REG,0,1
605,Steve Clark,DC,GK,5,5,450,27,13,11,2.2,1,3,1,1,20.0,48.1,2017,REG,2,3
606,Travis Worra,DC,GK,5,5,450,26,11,14,2.8,0,5,0,0,0.0,42.3,2017,REG,0,0
607,Andrew Dykstra,SKC,GK,4,3,301,14,10,5,1.67,0,2,2,1,0.0,71.4,2017,REG,0,0
608,John Alvbage,MIN,GK,3,2,222,15,5,10,5.0,0,2,1,0,0.0,33.3,2017,REG,1,1
609,Maxime Crepeau,MTL,GK,3,3,270,19,10,8,2.67,0,3,0,0,0.0,52.6,2017,REG,1,2
610,Kyle Reynish,ATL,GK,2,2,150,5,2,3,1.5,1,0,0,0,50.0,40.0,2017,REG,0,0
611,Richard Sanchez,CHI,GK,2,2,180,15,11,4,2.0,1,1,0,0,50.0,73.3,2017,REG,0,0
612,Eirik Johansen,NYC,GK,2,2,180,7,3,4,2.0,1,1,0,0,50.0,42.9,2017,REG,0,0
613,Alexander Tambakis,ATL,GK,1,0,28,3,1,2,2.0,0,1,0,0,0.0,33.3,2017,REG,0,0
614,Paolo Tornaghi,VAN,GK,1,0,65,7,4,3,3.0,0,1,0,0,0.0,57.1,2017,REG,0,0
615,Earl Edwards Jr.,OCS,GK,1,1,90,7,1,6,6.0,0,1,0,0,0.0,14.3,2017,REG,0,0
616,Spencer Richey,VAN,GK,1,1,90,3,1,2,2.0,0,1,0,0,0.0,33.3,2017,REG,0,0
617,Tyler Miller,LFC,GK,1,1,90,8,5,3,3.0,1,0,0,0,100.0,62.5,2017,REG,0,0
618,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
619,John Berner,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
620,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
621,Jacob Lissek,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
622,Adrian Zendejas,SKC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
623,Mason Stajduhar,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
624,Connor Sparrow,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
625,Andre Rawls,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
626,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
627,Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
628,Evan Louro,NYR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
629,Eric Klenofsky,DC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
630,Stefan Cleveland,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
631,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
632,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
633,Cody Mizell,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
634,Brad Stuver,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
635,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
636,Patrick McLain,MIN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
637,Mark Pais,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
638,Kendall McIntosh,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
639,Josh Saunders,ORL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
640,Eric Kronberg,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
641,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
642,Ryan Meara,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
643,Jimmy Maurer,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0
