,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name
561,Chris Froschauer,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Froschauer,Chris,COL
562,Matt Pacifici,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Pacifici,Matt,CLB
563,Andre Rawls,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Rawls,Andre,NYCFC
564,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Turner,Matt,NE
565,Charlie Lyon,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Lyon,Charlie,SEA
566,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Brown,Calle,HOU
567,Wade Hamilton,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Hamilton,Wade,POR
568,Mason Stajduhar,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2016,REG,0,0,Stajduhar,Mason,ORL
569,Luis Robles,NY,GK,34,34,3060,149,99,47,1.38,14,12,8,10,41.2,66.4,2017,REG,8,9,Robles,Luis,NY
570,Zack Steffen,CLB,GK,34,34,3060,150,98,49,1.44,16,12,6,9,47.1,65.3,2017,REG,4,7,Steffen,Zack,CLB
571,Bobby Shuttleworth,MIN,GK,33,32,2838,174,116,60,1.88,10,16,5,5,30.3,66.7,2017,REG,6,8,Shuttleworth,Bobby,MIN
572,Stefan Frei,SEA,GK,33,33,2970,121,84,36,1.09,13,9,11,13,39.4,69.4,2017,REG,5,6,Frei,Stefan,SEA
573,Joe Bendik,OCS,GK,33,33,2970,173,118,52,1.58,10,14,9,7,30.3,68.2,2017,REG,4,5,Bendik,Joe,ORL
574,Sean Johnson,NYC,GK,32,32,2880,137,96,39,1.22,15,8,9,7,46.9,70.1,2017,REG,3,4,Johnson,Sean,NYCFC
575,Tim Melia,SKC,GK,31,31,2759,116,91,24,0.77,12,7,11,10,38.7,78.4,2017,REG,2,5,Melia,Tim,KC
576,Evan Bush,MTL,GK,31,31,2790,136,84,50,1.61,11,14,6,5,35.5,61.8,2017,REG,3,3,Bush,Evan,MTL
577,Alex Bono,TOR,GK,29,28,2570,104,72,32,1.14,19,4,6,10,65.5,69.2,2017,REG,3,5,Bono,Alex,TOR
578,Jesse Gonzalez,DAL,GK,29,29,2610,118,75,40,1.38,8,8,13,9,27.6,63.6,2017,REG,1,1,Gonzalez,Jesse,DAL
579,David Ousted,DC,GK,28,28,2453,132,90,39,1.39,13,8,6,6,46.4,68.2,2017,REG,4,4,Ousted,David,DC
580,Nick Rimando,RSL,GK,28,28,2488,110,73,33,1.18,13,10,5,8,46.4,66.4,2017,REG,1,3,Rimando,Nick,RSL
581,Cody Cropper,NE,GK,28,28,2520,124,71,50,1.79,10,14,4,8,35.7,57.3,2017,REG,4,4,Cropper,Cody,NE
582,Tyler Deric,HOU,GK,26,26,2340,109,76,31,1.19,10,6,10,6,38.5,69.7,2017,REG,2,2,Deric,Tyler,HOU
583,Andre Blake,PHI,GK,26,26,2340,125,88,34,1.31,9,10,7,9,34.6,70.4,2017,REG,4,5,Blake,Andre,PHI
584,Tim Howard,COL,GK,25,25,2250,126,84,39,1.56,7,14,4,5,28.0,66.7,2017,REG,5,6,Howard,Tim,COL
585,Bill Hamid,DC,GK,24,24,2160,132,98,35,1.46,8,12,4,6,33.3,74.2,2017,REG,3,4,Hamid,Bill,DC
586,Matt Lampson,MIN,GK,24,24,2160,91,58,31,1.29,12,7,5,8,50.0,63.7,2017,REG,3,3,Lampson,Matt,MIN
587,David Bingham,LA,GK,23,23,2070,94,58,35,1.52,9,9,5,7,39.1,61.7,2017,REG,2,2,Bingham,David,LA
588,Jake Gleeson,POR,GK,21,21,1818,83,52,30,1.43,8,6,6,3,38.1,62.7,2017,REG,3,3,Gleeson,Jake,POR
589,Alec Kann,ATL,GK,18,18,1620,83,56,25,1.39,8,7,3,4,44.4,67.5,2017,REG,4,4,Kann,Alec,ATL
590,Clement Diop,MTL,GK,15,15,1331,89,54,31,2.07,4,8,3,2,26.7,60.7,2017,REG,1,1,Diop,Clement,MTL
591,Brian Rowe,VAN,GK,14,12,1157,60,35,23,1.92,3,6,4,2,21.4,58.3,2017,REG,2,2,Rowe,Brian,VAN
592,Jeff Attinella,POR,GK,14,13,1242,64,45,20,1.54,7,5,2,4,50.0,70.3,2017,REG,0,1,Attinella,Jeff,POR
593,Brad Guzan,ATL,GK,14,14,1260,47,38,10,0.71,6,1,7,8,42.9,80.9,2017,REG,1,1,Guzan,Brad,ATL
594,Andrew Tarbell,SJ,GK,11,11,990,65,40,25,2.27,4,5,2,2,36.4,61.5,2017,REG,0,1,Tarbell,Andrew,SJ
595,Zac MacMath,COL,GK,9,9,810,40,27,12,1.33,2,5,2,1,22.2,67.5,2017,REG,2,2,MacMath,Zac,COL
596,Joe Willis,HOU,GK,8,8,720,31,17,14,1.75,3,4,1,2,37.5,54.8,2017,REG,1,1,Willis,Joe,HOU
597,Jorge Rodrigo Bava,CHI,GK,8,8,720,31,20,12,1.5,3,3,2,3,37.5,64.5,2017,REG,0,0,Rodrigo Bava,Jorge,CHI
598,John McCarthy,PHI,GK,8,8,720,49,34,13,1.63,2,4,2,1,25.0,69.4,2017,REG,2,2,McCarthy,John,PHI
599,Jon Kempin,CLB,GK,7,7,570,40,27,13,1.86,1,4,1,2,14.3,67.5,2017,REG,0,2,Kempin,Jon,CLB
600,Matt Van Oekel,RSL,GK,7,6,572,47,25,22,3.67,0,5,1,1,0.0,53.2,2017,REG,1,1,Van Oekel,Matt,RSL
601,Clint Irwin,TOR,GK,6,6,490,18,13,5,0.83,1,1,3,2,16.7,72.2,2017,REG,0,1,Irwin,Clint,TOR
602,Brad Knighton,NE,GK,6,6,540,31,20,11,1.83,3,1,2,1,50.0,64.5,2017,REG,1,1,Knighton,Brad,NE
603,Chris Seitz,HOU,GK,5,5,450,20,12,8,1.6,3,2,0,0,60.0,60.0,2017,REG,2,3,Seitz,Chris,HOU
604,Stefan Marinovic,VAN,GK,5,5,450,27,21,5,1.0,2,2,1,1,40.0,77.8,2017,REG,0,1,Marinovic,Stefan,VAN
605,Steve Clark,DC,GK,5,5,450,27,13,11,2.2,1,3,1,1,20.0,48.1,2017,REG,2,3,Clark,Steve,DC
606,Travis Worra,DC,GK,5,5,450,26,11,14,2.8,0,5,0,0,0.0,42.3,2017,REG,0,0,Worra,Travis,DC
607,Andrew Dykstra,SKC,GK,4,3,301,14,10,5,1.67,0,2,2,1,0.0,71.4,2017,REG,0,0,Dykstra,Andrew,KC
608,John Alvbage,MIN,GK,3,2,222,15,5,10,5.0,0,2,1,0,0.0,33.3,2017,REG,1,1,Alvbage,John,MIN
609,Maxime Crepeau,MTL,GK,3,3,270,19,10,8,2.67,0,3,0,0,0.0,52.6,2017,REG,1,2,Crepeau,Maxime,MTL
610,Kyle Reynish,ATL,GK,2,2,150,5,2,3,1.5,1,0,0,0,50.0,40.0,2017,REG,0,0,Reynish,Kyle,ATL
611,Richard Sanchez,CHI,GK,2,2,180,15,11,4,2.0,1,1,0,0,50.0,73.3,2017,REG,0,0,Sanchez,Richard,CHI
612,Eirik Johansen,NYC,GK,2,2,180,7,3,4,2.0,1,1,0,0,50.0,42.9,2017,REG,0,0,Johansen,Eirik,NYCFC
613,Alexander Tambakis,ATL,GK,1,0,28,3,1,2,2.0,0,1,0,0,0.0,33.3,2017,REG,0,0,Tambakis,Alexander,ATL
614,Paolo Tornaghi,VAN,GK,1,0,65,7,4,3,3.0,0,1,0,0,0.0,57.1,2017,REG,0,0,Tornaghi,Paolo,VAN
615,Earl Edwards Jr.,OCS,GK,1,1,90,7,1,6,6.0,0,1,0,0,0.0,14.3,2017,REG,0,0,Edwards Jr.,Earl,ORL
616,Spencer Richey,VAN,GK,1,1,90,3,1,2,2.0,0,1,0,0,0.0,33.3,2017,REG,0,0,Richey,Spencer,VAN
617,Tyler Miller,LFC,GK,1,1,90,8,5,3,3.0,1,0,0,0,100.0,62.5,2017,REG,0,0,Miller,Tyler,LAFC
618,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Bersano,Matt,SJ
619,John Berner,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Berner,John,COL
620,Calle Brown,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Brown,Calle,HOU
621,Jacob Lissek,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Lissek,Jacob,DAL
622,Adrian Zendejas,SKC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Zendejas,Adrian,KC
623,Mason Stajduhar,OCS,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Stajduhar,Mason,ORL
624,Connor Sparrow,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Sparrow,Connor,RSL
625,Andre Rawls,NYC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Rawls,Andre,NYCFC
626,Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Turner,Matt,NE
627,Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Cortes,Eduardo,DAL
628,Evan Louro,NYR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Louro,Evan,NY
629,Eric Klenofsky,DC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Klenofsky,Eric,DC
630,Stefan Cleveland,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Cleveland,Stefan,CHI
631,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Ketterer,Logan,CLB
632,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Kapp,Alex,MIN
633,Cody Mizell,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Mizell,Cody,COL
634,Brad Stuver,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Stuver,Brad,CLB
635,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Fernandez,Lalo,RSL
636,Patrick McLain,MIN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,McLain,Patrick,MIN
637,Mark Pais,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Pais,Mark,TOR
638,Kendall McIntosh,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,McIntosh,Kendall,POR
639,Josh Saunders,ORL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Saunders,Josh,ORL
640,Eric Kronberg,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Kronberg,Eric,MTL
641,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Meredith,Bryan,SEA
642,Ryan Meara,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Meara,Ryan,NY
643,Jimmy Maurer,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2017,REG,0,0,Maurer,Jimmy,DAL
